epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3233.5,0.52709,0.47931,1.00443,0.70948,0.54731,0.58831,0.44394,1.1763,1.63062,1.60166,0.000165095,0.000165095,0.000165095
88,3270.19,0.5225,0.47558,0.99489,0.65219,0.56785,0.58741,0.43201,1.19949,1.64615,1.63761,0.000154096,0.000154096,0.000154096
89,3306.78,0.52631,0.47865,1.00801,0.66658,0.55227,0.58906,0.43371,1.20654,1.68647,1.64753,0.000143097,0.000143097,0.000143097
90,3343.48,0.51842,0.47935,1.00633,0.63138,0.55599,0.57189,0.42535,1.19379,1.74884,1.62089,0.000132098,0.000132098,0.000132098
91,3380.8,0.46365,0.40257,0.96021,0.6113,0.53785,0.55597,0.41394,1.21347,1.72525,1.65177,0.000121099,0.000121099,0.000121099
92,3417.6,0.43855,0.38063,0.93953,0.7067,0.50719,0.57157,0.4336,1.17175,1.61566,1.61044,0.0001101,0.0001101,0.0001101
93,3454.23,0.4434,0.36123,0.94095,0.59653,0.60914,0.58446,0.44312,1.15773,1.60525,1.59646,9.91012e-05,9.91012e-05,9.91012e-05
94,3490.9,0.43196,0.35347,0.94534,0.61395,0.5506,0.57464,0.43929,1.1523,1.66225,1.59276,8.81023e-05,8.81023e-05,8.81023e-05
95,3527.49,0.40973,0.34256,0.91681,0.67397,0.51955,0.57561,0.44118,1.17707,1.70722,1.62544,7.71034e-05,7.71034e-05,7.71034e-05
96,3564.33,0.40614,0.33275,0.91605,0.61003,0.56821,0.57737,0.43995,1.17462,1.67931,1.62031,6.61045e-05,6.61045e-05,6.61045e-05
97,3601.15,0.41537,0.33038,0.92213,0.6609,0.5608,0.57938,0.43976,1.18089,1.69315,1.62974,5.51056e-05,5.51056e-05,5.51056e-05
98,3638.05,0.40525,0.33289,0.92328,0.70157,0.51672,0.57873,0.43483,1.16351,1.68743,1.62462,4.41067e-05,4.41067e-05,4.41067e-05
99,3674.87,0.39257,0.32173,0.90579,0.63789,0.57836,0.58136,0.43965,1.16404,1.67755,1.61682,3.31078e-05,3.31078e-05,3.31078e-05
100,3712.17,0.40062,0.32982,0.91912,0.65863,0.56341,0.57824,0.44195,1.16518,1.68202,1.61255,2.21089e-05,2.21089e-05,2.21089e-05
